,Unnamed: 0,title,location,house_type,house_code,price,tags,lease,area,orientation,floor,elevator,stall,water,electricity,fuel_gas,heating,facility,description
38,38,整租·新纪家园 1室1厅 东,朝阳-太阳宫-新纪家园,1室1厅1卫,BJ1625733575020118016,"8800元/月
            (季付价)","精装,集中供暖",整租,65.00㎡,东,中楼层/24层,有,暂无数据,民水,民电,有,集中供暖,"洗衣机,空调,衣柜,电视,冰箱,热水器,床,暖气,天然气",【交通出行】本房所在小区 交通出行便利，出小区 步行249米（来源于百度地图）即是太阳宫 地铁站；出小区步行232米（来源于百度地图）即是夏家园公交车站【周边配套】本房小区所在位置配套齐全，附近有 凯德Mall、爱琴海、比如 世界、凤凰汇等购物娱乐场所。医院有中日友好医院、望京医院、煤炭医院等。银行有广发银行、北京银行、工商银行、中信银行等。仅 需步行4 14米（数据来自于高德地图）就是太阳宫公园【小区介绍】本房所在小区是2002年建成，小区属于半封闭式 小区，人车不分流，保安 24小时站岗，小区内有许多 便民设施
39,39,整租·复地国际公寓 1房间 东,朝阳-东大桥-复地国际公寓,1房间1卫,BJ1625722406897188864,"6400元/月
            (季付价)","精装,集中供暖,非居住房屋",整租,48.50㎡,东,中楼层/23层,有,租用车位,商水,商电,无,集中供暖,"衣柜,床,暖气",
40,40,整租·乐成国际 2室1厅 南,朝阳-双井-乐成国际,2室1厅1卫,BJ1625722061324288000,"14500元/月
            (季付价)","近地铁,精装,集中供暖",整租,108.00㎡,南,高楼层/16层,有,租用车位,民水,民电,有,集中供暖,"洗衣机,空调,衣柜,电视,冰箱,床,暖气,天然气",
41,41,整租·松榆西里 2室1厅 南/北,朝阳-潘家园-松榆西里,2室1厅1卫,BJ1625718224064610304,"6400元/月
            (季付价)","近地铁,集中供暖",整租,62.46㎡,南 北,中楼层/6层,无,暂无数据,民水,民电,有,集中供暖,"洗衣机,空调,衣柜,电视,冰箱,热水器,床",
42,42,整租·地杰长安驿 1室0厅 西,朝阳-建国门外-地杰长安驿,1室0厅1卫,BJ1625510730914594816,"7000元/月
            (季付价)","近地铁,精装,集中供暖",整租,43.76㎡,西,中楼层/30层,有,租用车位,民水,民电,无,集中供暖,"洗衣机,空调,衣柜,电视,冰箱,床,暖气,宽带",【交通出行】距离地铁1号线永安里站620米，可换乘2号线等；距离日坛路公交站400米，此车站有1号路、9号路、43路、58路、120路等公交（数据均来自高德地图).【周边配套】周边购物：秀水街，世贸天阶，悠唐购物中心，贵友大厦，蓝岛大厦。日坛公园，庆丰公园，CBD城市森林公园都在步行范围内。中国银行、光大银行。周边酒店，万豪，长富宫，宜必思，亚朵等【小区介绍】封闭式小区，地杰物业，管理好，04年拿地，09年建成，70年产权商品房。小区内有喷泉广场，下沉广场，配有健身器材的小花园。民水民电，集中供暖，小区共2栋住宅楼，地下两层停车位。位置好，楼龄新，交通方便。
43,43,整租·10AM新坐标 1室0厅 西,朝阳-方庄-10AM新坐标,1室0厅1卫,BJ1625491638878994432,"4500元/月
            (季付价)","近地铁,精装,集中供暖",整租,27.71㎡,西,中楼层/29层,有,暂无数据,民水,民电,有,集中供暖,"洗衣机,空调,衣柜,电视,冰箱,热水器,床,暖气,宽带",【交通出行】地铁：14号线方庄站464米左右，上接5号线蒲黄榆站，下连10号线十里河站，去东单和国贸都比较方便。（距离来自高德地图 ） 公交：左安门外公交站500米左右，有122路，51路，684路，特12内环，特12外环等。（距离来自高德地图）【周边配套】超市：京东便利店，物美超市，家乐福超市。 公园：龙潭湖公园，方庄体育公园。 商场：新业广场和新城广场。【小区介绍】新坐标小区建于2005年，相比于周边小区，房龄较年轻。小区以小户型为主，面积从27平得星河开间到112平的上下两层复式
44,44,整租·砖角楼南里 2室1厅 南/北,朝阳-和平里-砖角楼南里,2室1厅1卫,BJ1625482487129964544,"7100元/月
            (季付价)","精装,集中供暖",整租,50.40㎡,南 北,中楼层/16层,有,暂无数据,民水,民电,有,集中供暖,"衣柜,床,暖气,宽带,天然气",【装修描述】业主自住装修，闲置出租，房子干净整洁 ，居住温馨舒适【交通出行】距地铁13号线柳芳站388m，5号线2号线雍和宫站1.4km（数据来源百度地图），距116路，123路，130路公交站东土城路站31m（数据来源百度地图）【周边配套】小区靠近地坛公园，周边医院有和平里医院、玛丽妇婴医院。商场有美廉美超市、燕丰商场和天丰利商场。银行有光大银行、工商银行、交通银行和农业银行
45,45,整租·山水文园二期 4室2厅 南/北,朝阳-华威桥-山水文园二期,4室2厅3卫,BJ1625482038771449856,"28000元/月
            (半年付价)","近地铁,精装,集中供暖",整租,223.00㎡,南 北,高楼层/9层,有,租用车位,民水,民电,有,集中供暖,"洗衣机,空调,衣柜,电视,冰箱,热水器,床,暖气,天然气",【交通出行】小区位于东三与东四环之间 ，出门小区北门向西直行就是东三环，交通便捷。地铁站为10号线 与14号线交汇处的十里河站，距离国贸地铁站只有三站，出行方便。【周边配套】餐厅：106餐厅、玉林烤鸭店、呷哺、云南菜。 超市：双龙超市、永辉超市。 购物中心：燕莎奥特莱斯购物中心、合生汇、红星美凯龙等。 医疗配套：双龙医院、肿瘤医院 、垂杨柳医院 ，朝阳中西结合医院，朝阳区 休闲娱乐配套：欢乐谷。【小区介绍】山水文园在东南三环至四环之间，1.36的低容积率，本房是小高层塔楼，一梯两户，园林景观设计，绿化高达68%。小区封闭式管理，进出园区和单元门都需要刷卡，24小时保安物业和热水，人车分流的高品质社区。
46,46,整租·安贞西里 2室1厅 南/北,朝阳-安贞-安贞西里,2室1厅1卫,BJ1625492855176822784,"7500元/月
            (季付价)","近地铁,集中供暖",整租,58.00㎡,南 北,低楼层/6层,无,暂无数据,民水,民电,有,集中供暖,"洗衣机,空调,衣柜,冰箱,热水器,床,暖气,天然气",【交通出行】安贞西里小区，成熟的老公房小区，小区南边就是三环，北边是北土城地铁站（地铁十号线和八号线的交汇点），小区中间是安华桥地铁站（地铁八号线），南边三环有多路公交带您去往北京的各大商圈，位置便利，交通方便！【周边配套】安贞西里是成熟的老公房小区，小区配套设施齐全，有元大都遗址公园，您可以遛弯散步，地铁，银行，安贞医院（三甲医院，主治心脑血管疾病），安贞华联超市，您可以逛街购物【小区介绍】安贞西里小区配套齐全，公园有元大都遗址公园，社区公园，您可以遛弯散步，地铁有地铁8号线和地铁10号线，银行有工商银行等，医院有安贞医院（三甲医院，主治心脑血管疾病），超市有安贞华联超市，满足您的日常生活所需
47,47,整租·东洲家园 2室1厅 南,朝阳-望京-东洲家园,2室1厅1卫,BJ1625477199479963648,"7000元/月
            (季付价)","精装,集中供暖",整租,85.00㎡,南,中楼层/19层,有,暂无数据,暂无数据,暂无数据,有,集中供暖,"洗衣机,空调,衣柜,电视,冰箱,热水器,床,暖气,宽带,天然气",【交通出行】东洲家园该小区交通出行方便，北门靠近奶西村站、东洲家园公交站有两辆车交替，分别是855和939，地铁14号线来广营地铁站。【周边配套】小区旁边有两个公园，一个朝来公园，里面有篮球场，乒乓球场，跑到，，，，另外一个是首都超大的温榆河湿地公园，网红打卡地，各种小吃，各种游乐场，，，是周末亲自活动选择。。。【小区介绍】东洲家园2017年建成， 正规两居室，该小区属于封闭式小区，小区保安每天24小时值班，管理严格，小区环境优美。。
48,48,整租·铂宫国际中心 4室1厅 南/西南,朝阳-东大桥-铂宫国际中心,4室1厅2卫,BJ1625418739161759744,"42000元/月
            (季付价)","精装,集中供暖,双卫生间",整租,324.00㎡,南 西南,低楼层/15层,有,租用车位,民水,民电,有,集中供暖,,【装修描述】装修是精装，之前是租办公室，朝向南/西南，装修有两年以上，没有什么味道【交通出行】公交：118路、120路、403路、43路、673路 　　地铁：2号线、10号线、6号线【周边配套】商场：蓝岛超市、美家美户家居用品超市、旺市百利超市 医院：东大肛肠医院、首都医科大学中医药学院教学医院、首都医科大学附属北京朝阳医院
49,49,整租·工体西里 2室1厅 南,朝阳-工体-工体西里,2室1厅1卫,BJ1625418208804601856,"8000元/月
            (季付价)","近地铁,精装,集中供暖",整租,47.00㎡,南,高楼层/24层,有,暂无数据,民水,民电,有,集中供暖,"洗衣机,空调,衣柜,电视,冰箱,热水器,床,暖气,天然气",
50,50,整租·常楹公元自由派 1房间 北,朝阳-常营-常楹公元自由派,1房间1卫,BJ1625392078080966656,"6000元/月
            (季付价)","近地铁,精装,集中供暖,非居住房屋",整租,57.00㎡,北,中楼层/23层,有,暂无数据,商水,商电,无,集中供暖,"洗衣机,空调,衣柜,电视,冰箱,热水器,床,暖气",
51,51,整租·裘马都 4室2厅 东/南/北,朝阳-三元桥-裘马都,4室2厅3卫,BJ1625398888871493632,"35000元/月
            (季付价)","近地铁,集中供暖,随时看房",整租,222.00㎡,东 南 北,中楼层/24层,有,暂无数据,民水,民电,有,集中供暖,,【户型介绍】裘马都 高层 南北东三面采光，落地窗设计，四室四卫，有保姆间【周边配套】近地铁10号线，周边有八大公园：太阳宫公园，彩蝶公园，太阳宫体育公园，玫瑰里公园，安馨花园。交通便利：机场快轨，麦德龙超市，比如世界，电影院，凤凰汇购物广场，凯德茂商城，培基幼儿园，春宇幼儿园等。【小区介绍】裘马都小区是华远地产拿地开发，2008年6月份交的房子，小区总共10栋楼，1栋楼是商业，9栋楼是住宅。小户型总共288户，集中在1号楼和2号楼。332户的大户型，主要以3+1的4居室和4+1的5居室为主，物业费5.46/平方米。
52,52,整租·观景园 2室1厅 南/北,海淀-清河-观景园,2室1厅1卫,BJ1620025390250590208,"8200元/月
            (季付价)","精装,集中供暖",整租,91.44㎡,南 北,低楼层/6层,无,暂无数据,民水,民电,有,集中供暖,"洗衣机,空调,衣柜,电视,冰箱,热水器,床,暖气,天然气",【户型介绍】房子户型方正，采光好，客厅和主卧室朝南，主卧带落地阳台，卫生间宽敞明亮带阳台，适合居住。【交通出行】小区西门直通黑泉路，北至西三旗东至天通苑，立水桥，东至上地，西二旗，南至林萃桥可以直接上五环，交通便捷，公交车305.476.490.379.81路.专44.520等，地铁八号线得林萃桥和永泰庄地铁站。【小区介绍】小区是2009年由首开天鸿集团建设开发，2009年入住的封闭式社区，小区主打6层低密度板楼，小区环境优美，绿化面积大，楼间距大，居住舒适。
53,53,整租·莱圳家园 3室1厅 东/南/北,海淀-清河-莱圳家园,3室1厅1卫,BJ1620020953150914560,"9800元/月
            (季付价)","近地铁,精装,集中供暖,随时看房",整租,103.18㎡,东 南 北,高楼层/13层,有,暂无数据,民水,民电,有,集中供暖,"洗衣机,空调,衣柜,电视,冰箱,热水器,床,暖气,天然气","【房源亮点】房子是莱圳家园三居室，房子维护的好，带电梯，距离八号线西小口地铁站600米（数据来源于百度地图）,生活方便，小区环境好，居住舒适。【交通出行】小区出门600米就是八号线西小口地铁站（此数据来源于百度地图），有专79路公交车，小营桥北公交站，乘坐地铁公交便利。【周边配套】公园有西小口公园，奥林匹克森林公园北园，东升文体公园，医院有东升卫生服务站，人民医院，京北医院。购物有小营悦茂，五彩城。超市有盒马生鲜、社区超市，物美超市，配套齐全。"
54,54,整租·五月华庭 2房间 南,海淀-小西天-五月华庭,2房间1卫,BJ1634826281352691712,"5000元/月
            (季付价)","近地铁,非居住房屋",整租,34.79㎡,南,低楼层/12层,有,暂无数据,商水,商电,无,自采暖,"洗衣机,空调,衣柜,冰箱,热水器,床",
55,55,整租·大河庄苑 1室0厅 西,海淀-苏州桥-大河庄苑,1室0厅1卫,BJ1634801811804127232,"7500元/月
            (季付价)","精装,集中供暖,随时看房",整租,57.66㎡,西,低楼层/18层,有,租用车位,民水,民电,有,集中供暖,"洗衣机,空调,衣柜,电视,冰箱,床,暖气",【交通出行】小区距离地铁10号线苏州街地铁站950米，距离16号线万泉河桥站900米，附近有北京地震局、万泉河桥南公交站；公交线：118、114、563、610；【周边配套】小区周围超市：711便利店；商场：新中关购物中心、领展；特色饭店：白家大院、沙县小吃；大型公司：微软、新东方；公园：海淀公园；银行：建设银行、农业银行、北京银行；医院：海淀医院，综合三甲医院。【小区介绍】大河庄苑是2004年小区，24小时物业管理。小区人车分流，前后花园，每栋楼前后都有花园绿地。内部有健身设施、有供休息的亭子和椅子。
56,56,整租·翠微中里 3室1厅 西/北,海淀-公主坟-翠微中里,3室1厅1卫,BJ1634811392307494912,"12000元/月
            (季付价)","精装,集中供暖",整租,79.00㎡,西 北,中楼层/21层,有,暂无数据,民水,民电,有,集中供暖,"洗衣机,空调,衣柜,电视,冰箱,热水器,床,暖气,天然气",
57,57,整租·厂洼小区 2室1厅 南/北,海淀-厂洼-厂洼小区,2室1厅1卫,BJ1634788856383406080,"7900元/月
            (季付价)","精装,集中供暖",整租,50.00㎡,南 北,低楼层/6层,无,暂无数据,民水,民电,有,集中供暖,"洗衣机,空调,衣柜,冰箱,热水器,床,暖气,天然气",
58,58,整租·大泥湾 2室1厅 南/北,海淀-中关村-大泥湾,2室1厅1卫,BJ1634777238660448256,"10000元/月
            (季付价)","近地铁,精装,集中供暖",整租,57.00㎡,南 北,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,"洗衣机,空调,衣柜,电视,冰箱,热水器,床,暖气,天然气",
59,59,整租·翠微南里 1室1厅 南,海淀-公主坟-翠微南里,1室1厅1卫,BJ1634548385702739968,"5500元/月
            (季付价)","近地铁,集中供暖,随时看房",整租,45.00㎡,南,高楼层/18层,有,暂无数据,民水,民电,有,集中供暖,"洗衣机,空调,衣柜,冰箱,热水器,床,暖气,天然气",
60,60,整租·金隅瑞和园 3室1厅 南/北,海淀-玉泉路-金隅瑞和园,3室1厅1卫,BJ1634594242112258048,"9900元/月
            (季付价)",精装,整租,97.00㎡,南 北,高楼层/16层,有,暂无数据,暂无数据,暂无数据,有,自采暖,"衣柜,床,暖气,天然气",
61,61,整租·正源尚峰尚水 4室2厅 南/北,海淀-海淀北部新区-正源尚峰尚水,4室2厅2卫,BJ1634566144025165824,"15500元/月
            (季付价)","精装,双卫生间",整租,179.00㎡,南 北,低楼层/8层,有,租用车位,民水,民电,有,自采暖,,
62,62,整租·中关村公馆 3房间 西南,海淀-苏州桥-中关村公馆,3房间1卫,BJ1634734836176388096,"14000元/月
            (季付价)","近地铁,精装,集中供暖,非居住房屋",整租,85.00㎡,西南,低楼层/15层,有,暂无数据,商水,商电,有,集中供暖,"空调,暖气,天然气",
63,63,整租·志新村 1室1厅 南,海淀-二里庄-志新村,1室1厅1卫,BJ1634532785563631616,"6600元/月
            (季付价)","精装,集中供暖",整租,42.40㎡,南,低楼层/6层,无,暂无数据,民水,民电,有,集中供暖,,
64,64,整租·东南小区 2室1厅 南/北,海淀-中关村-东南小区,2室1厅1卫,BJ1634534701907574784,"9078元/月
            (季付价)","近地铁,精装,集中供暖,随时看房",整租,61.00㎡,南 北,低楼层/6层,无,暂无数据,民水,民电,有,集中供暖,"洗衣机,空调,衣柜,冰箱,热水器,床,暖气,宽带",【房源亮点】房子家具家电齐全，采光充分，拎包入住，二层出行方便，南北通透。【户型介绍】房屋户型方正，南北通透，主卧带阳台，中间带个小的储藏间，明厨明卫。【装修描述】房屋精装修，干净整洁。
65,65,整租·定慧福里南区 2室1厅 南,海淀-定慧寺-定慧福里南区,2室1厅1卫,BJ1634508222662443008,"11000元/月
            (季付价)","近地铁,精装,集中供暖",整租,88.50㎡,南,低楼层/12层,有,租用车位,民水,民电,有,集中供暖,"洗衣机,空调,衣柜,电视,冰箱,热水器,床,暖气,天然气",
66,66,整租·成府路20号院 2室1厅 南/北,海淀-五道口-成府路20号院,2室1厅1卫,BJ1634504674264481792,"7800元/月
            (季付价)","近地铁,集中供暖",整租,57.00㎡,南 北,低楼层/6层,无,租用车位,民水,民电,有,集中供暖,"洗衣机,空调,衣柜,电视,冰箱,热水器,床,暖气,宽带,天然气",
67,67,整租·当代城市家园 2室2厅 南/北,海淀-上地-当代城市家园,2室2厅1卫,BJ1634499157056028672,"8800元/月
            (季付价)","近地铁,精装",整租,99.00㎡,南 北,中楼层/11层,有,暂无数据,民水,民电,有,自采暖,"洗衣机,空调,衣柜,冰箱,热水器,床,暖气,宽带,天然气",【户型介绍】房子是朝南北向的，带落地大阳台，晾晒物品方便，整体厨房，整体卫浴。【交通出行】小区门口有公交车站，去往上地、西二旗、软件园方便，13号线城铁清河站。【小区介绍】小区整体素质高，纯商品房社区，居住气氛好，老人和小孩比较多。
68,68,整租·中湾国际 1室1厅 西北,海淀-苏州桥-中湾国际,1室1厅1卫,BJ1634502516261519360,"7200元/月
            (季付价)","近地铁,精装,集中供暖",整租,58.00㎡,西北,高楼层/19层,有,租用车位,民水,民电,无,集中供暖,"洗衣机,空调,衣柜,冰箱,热水器,床,暖气",【交通出行】小区距离地铁10号线苏州街地铁站700米，距离16号线万泉河桥站1000米，4号线中关村地铁站1100米（高德地图显示）；附近有北京地震局、万泉河桥南公交站；公交线：118、114、563、610；距离在300到500米之间【周边配套】小区周围超市：超市发、711便利店；商场：新中关购物中心、欧美汇；特色饭店：白家大院、沙县小吃；大型公司：微软、新东方；公园：海淀公园；银行：建设银行、农业银行、北京银行；医院：海淀医院，综合三甲医院。【小区介绍】中湾国际是2005年的小区，欣洁物业，24小时门卫值守，地下固定停车场，小区有24小时直供热水。
69,69,整租·如园 4室2厅 南/北,海淀-西北旺-如园,4室2厅2卫,BJ1634523170327232512,"30000元/月
            (季付价)","近地铁,精装,集中供暖,双卫生间,随时看房",整租,215.00㎡,南 北,高楼层/10层,有,暂无数据,民水,民电,有,集中供暖,,【交通出行】距离地铁Ｍ１６号线西北旺站６２１米（来源百度地图）小区西侧公交站：３３３，４３８，１２３【出租原因】此房业主不住，可以长期出租，稳定长租，希望稳定的客户居住，省心。【小区介绍】小区环境很好，中式园林，远山近景，居住舒适，万科物业，品质保证。
70,70,整租·青云北区 2室1厅 南/北,海淀-双榆树-青云北区,2室1厅1卫,BJ1636583906897559552,"9400元/月
            (季付价)","近地铁,精装,集中供暖",整租,58.70㎡,南 北,高楼层/6层,无,免费使用,民水,民电,有,集中供暖,"洗衣机,空调,衣柜,电视,冰箱,热水器,床,暖气,宽带,天然气",
71,71,整租·中关园 1室1厅 南,海淀-五道口-中关园,1室1厅1卫,BJ1636576304901914624,"7600元/月
            (季付价)","集中供暖,随时看房",整租,41.00㎡,南,中楼层/6层,无,免费使用,民水,民电,有,集中供暖,"洗衣机,空调,衣柜,电视,冰箱,热水器,床,暖气,天然气",
72,72,整租·西山国际城 4房间 南/北,海淀-田村-西山国际城,4房间2卫,BJ1636372292910972928,"9800元/月
            (季付价)","近地铁,精装,集中供暖,双卫生间,随时看房,非居住房屋",整租,60.00㎡,南 北,高楼层/6层,有,暂无数据,民水,商电,有,集中供暖,"洗衣机,空调,衣柜,电视,冰箱,热水器,床,暖气,宽带,天然气",
73,73,整租·五棵松26号院 2室2厅 南/北,海淀-四季青-五棵松26号院,2室2厅1卫,BJ1636344273060233216,"7300元/月
            (季付价)","精装,集中供暖,随时看房",整租,77.19㎡,南 北,低楼层/9层,有,暂无数据,民水,民电,有,集中供暖,"洗衣机,空调,衣柜,电视,冰箱,热水器,床,暖气,宽带",【房源亮点】精装南北两居室，两卧室客厅全朝南，采光通风很好 ，可以稳定长租两年，价格不变。【交通出行】小区地处西四环北路，驾车出行可直接上四环，出行方便。出小区西门西行60米处为营慧寺公交站，距离6号线海淀五路居地铁站420米，交通出行方便，（以上数据来源于高德地图）【周边配套】从小区门口坐一站公交车就可以到金四季购物商场（四季青桥南公交站），生活购物方便。
74,74,整租·双榆树东里 2室1厅 南/西,海淀-双榆树-双榆树东里,2室1厅1卫,BJ1636328208074801152,"8800元/月
            (季付价)","近地铁,集中供暖",整租,60.00㎡,南 西,高楼层/16层,有,暂无数据,民水,民电,有,集中供暖,"衣柜,床,暖气,宽带,天然气",
75,75,整租·普惠南里 2室1厅 西南,海淀-公主坟-普惠南里,2室1厅1卫,BJ1636259663093694464,"8000元/月
            (季付价)","近地铁,精装,集中供暖",整租,75.60㎡,西南,低楼层/20层,有,暂无数据,民水,民电,有,集中供暖,"洗衣机,空调,衣柜,电视,冰箱,热水器,床,暖气,宽带,天然气",【交通出行】交通便利，出小区西行就是公交站牌，414，78等车次，出行便利，地铁也方便，步行到公主坟地铁站821米【周边配套】小区北门有小天鹅公园，在东边有玉渊潭公园，有水利医院，空军总医院，印象城，华联超市等，生活方便。【小区介绍】小区是一个成熟的小区，居住人群素质高，房子所在楼栋物业管理好，楼道干净整洁
76,76,整租·京泉馨苑 2室1厅 南/西/北,海淀-西山-京泉馨苑,2室1厅1卫,BJ1636275991363977216,"6500元/月
            (季付价)",集中供暖,整租,89.00㎡,南 西 北,中楼层/5层,无,暂无数据,民水,民电,有,集中供暖,"洗衣机,空调,衣柜,电视,冰箱,热水器,床,暖气,宽带,天然气",
77,77,整租·农科院 2室1厅 南,海淀-皂君庙-农科院,2室1厅1卫,BJ1636277807728295936,"9200元/月
            (季付价)","近地铁,精装,集中供暖",整租,54.40㎡,南,中楼层/5层,无,租用车位,民水,民电,有,集中供暖,"洗衣机,空调,衣柜,电视,冰箱,热水器,床,暖气",
78,78,整租·西山国际城 2房间 东,海淀-田村-西山国际城,2房间1卫,BJ1636284950074359808,"5500元/月
            (季付价)","近地铁,精装,集中供暖,非居住房屋",整租,31.00㎡,东,高楼层/6层,有,暂无数据,民水,商电,有,集中供暖,"洗衣机,空调,衣柜,电视,冰箱,热水器,床,暖气,宽带,天然气",
79,79,整租·八宝庄 1室1厅 南,海淀-定慧寺-八宝庄,1室1厅1卫,BJ1636242899433684992,"5500元/月
            (季付价)","近地铁,精装,集中供暖",整租,45.00㎡,南,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,"洗衣机,空调,衣柜,电视,冰箱,热水器,床,暖气,天然气",
80,80,整租·万泉新新家园 1室1厅 东,海淀-万柳-万泉新新家园,1室1厅1卫,BJ1636238650092027904,"8000元/月
            (季付价)","近地铁,精装,集中供暖,随时看房",整租,58.30㎡,东,中楼层/10层,有,暂无数据,商水,商电,有,集中供暖,"洗衣机,衣柜,电视,冰箱,热水器,床,暖气,宽带",
81,81,整租·管庄西里 2室1厅 南/北,朝阳-管庄-管庄西里,2室1厅1卫,BJ1640545983173492736,"4900元/月
            (季付价)","精装,集中供暖",整租,55.15㎡,南 北,低楼层/6层,无,暂无数据,民水,民电,有,集中供暖,"洗衣机,空调,衣柜,电视,冰箱,热水器,床,暖气,天然气","【交通出行】地铁出行的话可以坐六号线常营和黄渠站，南边有八通线，可以做管庄和双桥站，小区出行公交有公交站管庄路口北站583.364，532等，去国贸，农业展览馆，红庙都十分方便。【周边配套】小区是成熟小区，周边配套：东苇路菜市场，京客隆超市，东里社区医 院，美真幼儿园，朝阳实验，中国工商银行，服装城，长楹龙湖天街，好嫂子，德丰轩等。小区周边有工行，农行，邮政，建行,周边有多个太型超市.京客隆，物美超市，幸福超市【小区介绍】管庄西里是一个成熟的小区，配套完善，门前是管庄路，服装、娱乐、餐饮都有，人 流量大，繁华，小区板楼居多，楼间距大，采光极好"
